 11         1.463021559942489 in meV
 12         1.426354458339818 in meV
 13         1.393886360193226 in meV
 14         1.315115370264528 in meV
 15         1.519748772684044 in meV
 16         1.406703255200197 in meV
 17         1.247880178973780 in meV
 18         1.328841650521984 in meV
 19         1.541961519891415 in meV
 20         1.493589063380288 in meV
 21         1.248240546409531 in meV
 22         1.071359598584565 in meV
 23         1.481573945648323 in meV
 24         1.508210384569925 in meV
 25         1.399968320882842 in meV
 26         1.075081592086503 in meV
