 11        61.451219735203009 in meV
 12        61.353370912777278 in meV
 13        61.195819829077559 in meV
 14        61.054320547748445 in meV
 15        69.584245480495451 in meV
 16        69.759799501855737 in meV
 17        69.759456901848261 in meV
 18        69.477466448326940 in meV
 19        69.168154587147658 in meV
 20        68.466644506173655 in meV
 21        68.422770579074271 in meV
 22        68.415738211238305 in meV
 23        68.415060784414324 in meV
 24       117.013428222539376 in meV
 25       216.836929434192195 in meV
 26       131.268101180415509 in meV
